,filename,word_count,char_count
0,Class_12_Figure 1.1.jpg,10,61
1,Class_12_Figure 1.10.jpg,13,93
2,Class_12_Figure 1.11.jpg,19,116
3,Class_12_Figure 1.12a.jpg,0,0
4,Class_12_Figure 1.12b.jpg,0,0
5,Class_12_Figure 1.12c.jpg,16,102
6,Class_12_Figure 1.12d.jpg,2,13
7,Class_12_Figure 1.12e.jpg,6,35
8,Class_12_Figure 1.13.jpg,54,377
9,Class_12_Figure 1.14.jpg,20,125
10,Class_12_Figure 1.15.jpg,20,128
11,Class_12_Figure 1.2.jpg,12,79
12,Class_12_Figure 1.3.jpg,35,219
13,Class_12_Figure 1.4.jpg,10,64
14,Class_12_Figure 1.5.jpg,33,212
15,Class_12_Figure 1.6.jpg,36,204
16,Class_12_Figure 1.7.jpg,48,339
17,Class_12_Figure 1.8.jpg,63,404
18,Class_12_Figure 1.9.jpg,13,109
19,Class_12_Figure 10.1.png,14,85
20,Class_12_Figure 10.2.png,33,240
21,Class_12_Figure 10.3.png,21,129
22,Class_12_Figure 11.1.png,15,145
23,Class_12_Figure 11.2.png,14,97
24,Class_12_Figure 11.3.png,36,225
25,Class_12_Figure 11.4.png,31,156
26,Class_12_Figure 11.5.png,8,55
27,Class_12_Figure 12.1.png,73,477
28,Class_12_Figure 12.2.png,49,387
29,Class_12_Figure 12.3.png,34,264
30,Class_12_Figure 12.4a.png,47,316
31,Class_12_Figure 12.4b.png,30,155
32,Class_12_Figure 12.4c.png,23,140
33,Class_12_Figure 12.4d.png,41,214
34,Class_12_Figure 13.1.png,38,301
35,Class_12_Figure 13.2.png,19,131
36,Class_12_Figure 2.10.jpg,14,92
37,Class_12_Figure 2.11.jpg,24,156
38,Class_12_Figure 2.12.jpg,10,64
39,Class_12_Figure 2.1a.jpg,32,248
40,Class_12_Figure 2.1b.jpg,35,260
41,Class_12_Figure 2.2.jpg,14,125
42,Class_12_Figure 2.3a.jpg,21,159
43,Class_12_Figure 2.3b.jpg,25,195
44,Class_12_Figure 2.4.jpg,17,122
45,Class_12_Figure 2.5.jpg,11,88
46,Class_12_Figure 2.6.jpg,23,174
47,Class_12_Figure 2.7.jpg,22,169
48,Class_12_Figure 2.8.jpg,71,516
49,Class_12_Figure 2.9.jpg,64,434
50,Class_12_Figure 3.1a.jpg,5,30
51,Class_12_Figure 3.1b.jpg,5,33
52,Class_12_Figure 3.2.jpg,5,27
53,Class_12_Figure 3.3.jpg,3,21
54,Class_12_Figure 3.4a.jpg,4,25
55,Class_12_Figure 3.4b.jpg,9,55
56,Class_12_Figure 4.1.jpg,50,306
57,Class_12_Figure 4.10.jpg,10,65
58,Class_12_Figure 4.11.jpg,111,617
59,Class_12_Figure 4.12ab.jpg,0,0
60,Class_12_Figure 4.12c.jpg,2,6
61,Class_12_Figure 4.13a.jpg,27,141
62,Class_12_Figure 4.13b.jpg,49,336
