,filename,word_count,char_count
63,Class_12_Figure 4.14.jpg,31,205
64,Class_12_Figure 4.15.jpg,67,358
65,Class_12_Figure 4.16.jpg,47,284
66,Class_12_Figure 4.17.jpg,34,253
67,Class_12_Figure 4.2.jpg,0,0
68,Class_12_Figure 4.3.jpg,24,152
69,Class_12_Figure 4.4.jpg,34,212
70,Class_12_Figure 4.5.jpg,65,370
71,Class_12_Figure 4.6.jpg,53,292
72,Class_12_Figure 4.7.jpg,41,223
73,Class_12_Figure 4.8.jpg,40,226
74,Class_12_Figure 4.9.jpg,74,408
75,Class_12_Figure 5.1.jpg,23,101
76,Class_12_Figure 5.10.jpg,34,201
77,Class_12_Figure 5.11.jpg,28,162
78,Class_12_Figure 5.12.jpg,12,67
79,Class_12_Figure 5.13.jpg,4,32
80,Class_12_Figure 5.14.jpg,65,382
81,Class_12_Figure 5.15.jpg,9,61
82,Class_12_Figure 5.16.jpg,189,962
83,Class_12_Figure 5.2.jpg,8,56
84,Class_12_Figure 5.3.jpg,16,111
85,Class_12_Figure 5.4a.jpg,11,79
86,Class_12_Figure 5.4b.jpg,7,46
87,Class_12_Figure 5.5.jpg,49,350
88,Class_12_Figure 5.6.jpg,8,68
89,Class_12_Figure 5.7.jpg,45,240
90,Class_12_Figure 5.8.jpg,16,138
91,Class_12_Figure 5.9.jpg,19,149
92,Class_12_Figure 6.1.jpg,29,211
93,Class_12_Figure 6.10.jpg,24,238
94,Class_12_Figure 6.11.jpg,32,194
95,Class_12_Figure 6.2.jpg,18,114
96,Class_12_Figure 6.3.jpg,13,75
97,Class_12_Figure 6.4.jpg,26,141
98,Class_12_Figure 6.5.jpg,13,77
99,Class_12_Figure 6.6.jpg,18,139
100,Class_12_Figure 6.7.jpg,22,181
101,Class_12_Figure 6.8.jpg,27,194
102,Class_12_Figure 6.9.jpg,22,148
103,Class_12_Figure 7.1.jpg,126,804
104,Class_12_Figure 7.10.jpg,5,37
105,Class_12_Figure 7.11.jpg,6,39
106,Class_12_Figure 7.2.jpg,14,88
107,Class_12_Figure 7.3.jpg,10,63
108,Class_12_Figure 7.4.jpg,15,95
109,Class_12_Figure 7.5.jpg,7,54
110,Class_12_Figure 7.6.jpg,72,422
111,Class_12_Figure 7.7.jpg,8,52
112,Class_12_Figure 7.8.jpg,4,23
113,Class_12_Figure 7.9.jpg,7,54
114,Class_12_Figure 8.1a.png,0,0
115,Class_12_Figure 8.1b.png,0,0
116,Class_12_Figure 8.1c.png,5,41
117,Class_12_Figure 8.2a.png,0,0
118,Class_12_Figure 8.2b.png,0,0
119,Class_12_Figure 8.2c.png,1,4
120,Class_12_Figure 8.3a.png,0,0
121,Class_12_Figure 8.3b.png,3,19
122,Class_12_Figure 8.4.png,3,23
123,Class_12_Figure 8.5.png,4,30
124,Class_12_Figure 8.6.png,4,31
125,Class_12_Figure 8.7.png,9,44
126,Class_12_Figure 8.8.png,8,54
127,Class_12_Figure 9.1.png,97,492
128,Class_12_Figure 9.2.png,43,294
129,Class_12_Figure 9.3.png,39,205
130,Class_12_Figure 9.4.png,49,280
131,Class_12_Figure 9.5.png,11,62
132,Class_12_Figure 9.6.png,51,299
133,Class_12_Figure 9.7a.png,8,59
134,Class_12_Figure 9.7b.png,16,124
