,filename,laplacian_variance,brightness,contrast,is_grayscale
36,Class_12_Figure 2.10.jpg,5228.67,237.52,41.97,False
37,Class_12_Figure 2.11.jpg,3760.55,231.34,49.53,False
38,Class_12_Figure 2.12.jpg,6390.83,219.52,62.69,False
39,Class_12_Figure 2.1a.jpg,3973.74,230.52,51.95,False
40,Class_12_Figure 2.1b.jpg,5925.13,234.43,50.15,False
41,Class_12_Figure 2.2.jpg,13014.69,189.7,86.11,False
42,Class_12_Figure 2.3a.jpg,2944.6,216.72,52.56,False
43,Class_12_Figure 2.3b.jpg,3426.6,239.71,41.12,False
44,Class_12_Figure 2.4.jpg,6114.2,234.81,51.1,False
45,Class_12_Figure 2.5.jpg,5769.11,223.29,56.41,False
46,Class_12_Figure 2.6.jpg,3993.07,241.61,44.46,False
47,Class_12_Figure 2.7.jpg,4686.19,206.02,73.92,False
48,Class_12_Figure 2.8.jpg,2957.98,222.1,40.88,False
49,Class_12_Figure 2.9.jpg,5093.76,233.83,47.57,False
50,Class_12_Figure 3.1a.jpg,2814.21,241.98,43.61,False
51,Class_12_Figure 3.1b.jpg,1573.67,109.64,111.25,False
52,Class_12_Figure 3.2.jpg,1167.56,95.56,78.15,False
53,Class_12_Figure 3.3.jpg,1329.95,105.18,110.61,False
54,Class_12_Figure 3.4a.jpg,3433.36,239.13,40.27,False
55,Class_12_Figure 3.4b.jpg,3011.36,235.25,44.78,False
56,Class_12_Figure 4.1.jpg,5320.18,239.59,44.36,False
57,Class_12_Figure 4.10.jpg,4425.3,234.98,46.32,False
58,Class_12_Figure 4.11.jpg,4572.15,222.32,45.78,False
59,Class_12_Figure 4.12ab.jpg,3645.61,239.86,41.76,False
60,Class_12_Figure 4.12c.jpg,4647.07,218.87,63.36,False
61,Class_12_Figure 4.13a.jpg,3596.49,246.46,35.28,False
62,Class_12_Figure 4.13b.jpg,4996.33,239.94,44.59,False
63,Class_12_Figure 4.14.jpg,3513.94,240.93,41.29,False
64,Class_12_Figure 4.15.jpg,3190.87,223.13,59.11,False
65,Class_12_Figure 4.16.jpg,3025.51,204.75,70.2,False
66,Class_12_Figure 4.17.jpg,5623.58,235.64,45.69,False
67,Class_12_Figure 4.2.jpg,6045.31,231.7,48.91,False
68,Class_12_Figure 4.3.jpg,3860.13,243.58,39.04,False
69,Class_12_Figure 4.4.jpg,6915.72,234.05,47.01,False
70,Class_12_Figure 4.5.jpg,5055.01,239.32,44.32,False
71,Class_12_Figure 4.6.jpg,5892.31,223.1,56.03,False
72,Class_12_Figure 4.7.jpg,5515.72,239.97,37.36,False
73,Class_12_Figure 4.8.jpg,5266.59,240.14,43.71,False
74,Class_12_Figure 4.9.jpg,5923.08,238.69,46.75,False
75,Class_12_Figure 5.1.jpg,2296.94,244.94,35.25,False
76,Class_12_Figure 5.10.jpg,2435.89,240.88,41.29,False
77,Class_12_Figure 5.11.jpg,1538.82,246.85,31.4,False
78,Class_12_Figure 5.12.jpg,2064.24,239.96,39.97,False
79,Class_12_Figure 5.13.jpg,3695.7,233.76,47.23,False
80,Class_12_Figure 5.14.jpg,3129.95,243.88,38.92,False
81,Class_12_Figure 5.15.jpg,5100.34,227.13,56.42,False
82,Class_12_Figure 5.16.jpg,5572.38,236.27,44.79,False
83,Class_12_Figure 5.2.jpg,2538.57,243.95,36.88,False
84,Class_12_Figure 5.3.jpg,3391.13,240.62,40.26,False
85,Class_12_Figure 5.4a.jpg,3556.03,232.04,44.83,False
86,Class_12_Figure 5.4b.jpg,2420.7,199.02,44.7,False
87,Class_12_Figure 5.5.jpg,3683.8,244.32,38.02,False
88,Class_12_Figure 5.6.jpg,3969.82,234.52,46.3,False
89,Class_12_Figure 5.7.jpg,4401.19,240.85,43.32,False
90,Class_12_Figure 5.8.jpg,2386.82,244.2,38.7,False
91,Class_12_Figure 5.9.jpg,2846.69,242.48,39.48,False
92,Class_12_Figure 6.1.jpg,3796.81,238.32,45.01,False
93,Class_12_Figure 6.10.jpg,3497.1,234.7,44.69,False
94,Class_12_Figure 6.11.jpg,5360.94,229.62,52.93,False
95,Class_12_Figure 6.2.jpg,3015.31,236.14,42.75,False
96,Class_12_Figure 6.3.jpg,5384.37,234.49,43.94,False
97,Class_12_Figure 6.4.jpg,8005.59,157.51,86.83,False
98,Class_12_Figure 6.5.jpg,7545.26,225.91,61.58,False
99,Class_12_Figure 6.6.jpg,2832.07,238.55,39.73,False
100,Class_12_Figure 6.7.jpg,7965.58,227.26,55.26,False
101,Class_12_Figure 6.8.jpg,2360.46,227.38,48.96,False
102,Class_12_Figure 6.9.jpg,3775.28,236.33,41.93,False
103,Class_12_Figure 7.1.jpg,6214.89,223.68,44.82,False
104,Class_12_Figure 7.10.jpg,2004.58,237.58,41.53,False
105,Class_12_Figure 7.11.jpg,11336.47,222.51,66.75,False
106,Class_12_Figure 7.2.jpg,2585.59,227.9,45.62,False
107,Class_12_Figure 7.3.jpg,1673.38,167.4,70.39,False
108,Class_12_Figure 7.4.jpg,3325.37,228.81,42.16,False
109,Class_12_Figure 7.5.jpg,4273.69,231.76,54.27,False
110,Class_12_Figure 7.6.jpg,4569.5,238.1,38.48,False
111,Class_12_Figure 7.7.jpg,4174.67,240.3,34.36,False
112,Class_12_Figure 7.8.jpg,1602.35,226.97,54.31,False
113,Class_12_Figure 7.9.jpg,3160.73,238.07,35.59,False
114,Class_12_Figure 8.1a.png,2746.7,228.05,42.61,False
115,Class_12_Figure 8.1b.png,2877.07,235.0,40.96,False
116,Class_12_Figure 8.1c.png,1017.85,118.64,102.74,False
117,Class_12_Figure 8.2a.png,3133.82,173.77,57.64,False
118,Class_12_Figure 8.2b.png,4700.65,179.88,52.03,False
119,Class_12_Figure 8.2c.png,8700.48,186.79,65.68,False
120,Class_12_Figure 8.3a.png,1831.53,165.77,55.01,False
121,Class_12_Figure 8.3b.png,1663.52,173.93,77.41,False
122,Class_12_Figure 8.4.png,938.0,128.21,74.56,False
123,Class_12_Figure 8.5.png,11381.06,166.83,69.28,False
124,Class_12_Figure 8.6.png,3804.21,190.54,74.66,False
125,Class_12_Figure 8.7.png,1228.05,165.74,53.4,False
126,Class_12_Figure 8.8.png,2002.07,217.7,52.59,False
127,Class_12_Figure 9.1.png,3136.92,238.7,51.12,False
128,Class_12_Figure 9.2.png,3286.0,239.05,48.41,False
129,Class_12_Figure 9.3.png,3860.21,228.58,49.98,False
130,Class_12_Figure 9.4.png,3987.48,237.02,43.15,False
131,Class_12_Figure 9.5.png,1217.52,167.28,54.15,False
132,Class_12_Figure 9.6.png,3255.35,239.65,43.33,False
133,Class_12_Figure 9.7a.png,5417.14,233.64,47.93,False
134,Class_12_Figure 9.7b.png,5349.77,236.55,42.27,False
