,filename,laplacian_variance,brightness,contrast,is_grayscale
0,Class_12_Figure 1.1.jpg,953.75,236.33,32.39,False
1,Class_12_Figure 1.10.jpg,2756.66,230.1,49.32,False
2,Class_12_Figure 1.11.jpg,4051.61,170.61,106.24,False
3,Class_12_Figure 1.12a.jpg,378.3,127.16,75.42,False
4,Class_12_Figure 1.12b.jpg,1226.68,130.72,76.27,False
5,Class_12_Figure 1.12c.jpg,6547.98,233.14,49.26,False
6,Class_12_Figure 1.12d.jpg,7459.51,234.97,48.3,False
7,Class_12_Figure 1.12e.jpg,7557.2,232.79,49.58,False
8,Class_12_Figure 1.13.jpg,5098.31,236.89,43.43,False
9,Class_12_Figure 1.14.jpg,6495.36,233.11,44.11,False
10,Class_12_Figure 1.15.jpg,6163.58,236.69,45.33,False
11,Class_12_Figure 1.2.jpg,3340.61,242.63,35.09,False
12,Class_12_Figure 1.3.jpg,8650.68,229.05,53.89,False
13,Class_12_Figure 1.4.jpg,2967.72,148.18,89.66,False
14,Class_12_Figure 1.5.jpg,8442.19,219.25,67.17,False
15,Class_12_Figure 1.6.jpg,2892.34,212.2,60.98,False
16,Class_12_Figure 1.7.jpg,5130.65,236.22,41.08,False
17,Class_12_Figure 1.8.jpg,5992.83,237.64,41.58,False
18,Class_12_Figure 1.9.jpg,4409.47,215.2,72.53,False
19,Class_12_Figure 10.1.png,889.01,133.74,100.32,False
20,Class_12_Figure 10.2.png,1881.6,182.45,80.26,False
21,Class_12_Figure 10.3.png,1485.8,235.73,45.08,False
22,Class_12_Figure 11.1.png,2663.78,216.46,47.83,False
23,Class_12_Figure 11.2.png,1530.55,242.02,35.58,False
24,Class_12_Figure 11.3.png,4065.62,224.78,41.38,False
25,Class_12_Figure 11.4.png,2076.86,141.07,93.62,False
26,Class_12_Figure 11.5.png,1986.57,77.44,104.42,False
27,Class_12_Figure 12.1.png,4005.53,231.76,52.9,False
28,Class_12_Figure 12.2.png,3213.1,238.32,40.12,False
29,Class_12_Figure 12.3.png,4702.25,231.29,51.79,False
30,Class_12_Figure 12.4a.png,3009.73,241.96,39.32,False
31,Class_12_Figure 12.4b.png,1840.86,244.24,34.04,False
32,Class_12_Figure 12.4c.png,2413.84,239.75,36.62,False
33,Class_12_Figure 12.4d.png,1892.96,244.32,34.02,False
34,Class_12_Figure 13.1.png,3298.88,222.71,42.81,False
35,Class_12_Figure 13.2.png,2043.11,224.72,35.88,False
