,filename,width,height,file_size_kb
75,Class_12_Figure 5.1.jpg,1052,346,38.84765625
76,Class_12_Figure 5.10.jpg,809,631,87.3486328125
77,Class_12_Figure 5.11.jpg,971,729,81.4287109375
78,Class_12_Figure 5.12.jpg,854,396,60.1796875
79,Class_12_Figure 5.13.jpg,689,522,64.1533203125
80,Class_12_Figure 5.14.jpg,945,733,91.3876953125
81,Class_12_Figure 5.15.jpg,605,612,80.3056640625
82,Class_12_Figure 5.16.jpg,825,886,145.18359375
83,Class_12_Figure 5.2.jpg,1109,567,73.9599609375
84,Class_12_Figure 5.3.jpg,672,734,75.79296875
85,Class_12_Figure 5.4a.jpg,503,475,43.83984375
86,Class_12_Figure 5.4b.jpg,538,427,82.3388671875
87,Class_12_Figure 5.5.jpg,963,865,126.8603515625
88,Class_12_Figure 5.6.jpg,487,836,81.57421875
89,Class_12_Figure 5.7.jpg,1138,591,110.4404296875
90,Class_12_Figure 5.8.jpg,512,615,46.259765625
91,Class_12_Figure 5.9.jpg,1082,373,55.69140625
92,Class_12_Figure 6.1.jpg,654,623,65.5947265625
93,Class_12_Figure 6.10.jpg,850,892,130.759765625
94,Class_12_Figure 6.11.jpg,733,700,103.1796875
95,Class_12_Figure 6.2.jpg,818,825,116.9462890625
96,Class_12_Figure 6.3.jpg,452,838,83.42578125
97,Class_12_Figure 6.4.jpg,1012,370,166.677734375
98,Class_12_Figure 6.5.jpg,860,243,54.505859375
99,Class_12_Figure 6.6.jpg,914,730,125.3564453125
100,Class_12_Figure 6.7.jpg,413,840,102.2890625
101,Class_12_Figure 6.8.jpg,900,866,95.740234375
102,Class_12_Figure 6.9.jpg,914,842,138.7734375
103,Class_12_Figure 7.1.jpg,850,884,171.31640625
104,Class_12_Figure 7.10.jpg,344,295,18.0947265625
105,Class_12_Figure 7.11.jpg,347,361,36.4130859375
106,Class_12_Figure 7.2.jpg,330,554,41.78515625
107,Class_12_Figure 7.3.jpg,542,328,37.2060546875
108,Class_12_Figure 7.4.jpg,662,570,66.5615234375
109,Class_12_Figure 7.5.jpg,367,553,46.107421875
110,Class_12_Figure 7.6.jpg,687,806,95.0810546875
111,Class_12_Figure 7.7.jpg,379,305,18.796875
112,Class_12_Figure 7.8.jpg,276,303,19.1650390625
113,Class_12_Figure 7.9.jpg,387,318,17.2958984375
114,Class_12_Figure 8.1a.png,381,162,39.0791015625
115,Class_12_Figure 8.1b.png,376,166,23.58984375
116,Class_12_Figure 8.1c.png,665,343,23.3642578125
117,Class_12_Figure 8.2a.png,301,381,112.451171875
118,Class_12_Figure 8.2b.png,287,373,110.12109375
119,Class_12_Figure 8.2c.png,547,313,210.583984375
120,Class_12_Figure 8.3a.png,400,435,77.6357421875
121,Class_12_Figure 8.3b.png,616,402,65.3173828125
122,Class_12_Figure 8.4.png,501,441,245.61328125
123,Class_12_Figure 8.5.png,500,448,468.6640625
124,Class_12_Figure 8.6.png,548,458,421.380859375
125,Class_12_Figure 8.7.png,487,370,231.4697265625
126,Class_12_Figure 8.8.png,727,653,127.1708984375
127,Class_12_Figure 9.1.png,1227,862,186.1181640625
128,Class_12_Figure 9.2.png,918,918,223.6923828125
129,Class_12_Figure 9.3.png,597,516,75.3359375
130,Class_12_Figure 9.4.png,577,700,102.8134765625
131,Class_12_Figure 9.5.png,360,770,257.150390625
132,Class_12_Figure 9.6.png,892,732,97.0
133,Class_12_Figure 9.7a.png,378,391,60.2392578125
134,Class_12_Figure 9.7b.png,502,388,88.9541015625
