Chapter_Numbers,Chapter_Name
1,SEXUAL REPRODUCTION IN FLOWERING PLANTS
2,HUMAN REPRODUCTION
3,REPRODUCTIVE HEALTH
4,PRINCIPLE OF INHERITANCE AND VARIATION
5,MOLECULAR BASIS OF INHERITANCE
6,EVOLUTION
7,HUMAN HEALTH AND DISEASE
8,MICROBES IN HUMAN WELFARE
9,BIOTECHNOLOGY : PRINCIPLES AND PROCESS
10,BIOTECHNOLOGY AND ITS APPLICATION
11,POPULATIONS
12,ECOSYSTEM
13,BIODIVERSITY AND CONSERVATION
